# Timestamp: 2026-04-23_16-09-20
# Goal: [121.7515218508801, 25.15946221062569]
lat,lon
25.15759000,121.75759000
25.15759046,121.75759085
25.15759092,121.75759171
25.15759138,121.75759256
25.15759185,121.75759341
25.15759232,121.75759426
25.15759278,121.75759511
25.15759325,121.75759596
25.15759372,121.75759681
25.15759420,121.75759766
25.15759467,121.75759850
25.15759514,121.75759935
25.15759562,121.75760019
25.15759610,121.75760103
25.15759658,121.75760188
25.15759706,121.75760272
25.15759754,121.75760356
25.15759803,121.75760439
25.15759851,121.75760523
25.15759900,121.75760607
25.15759949,121.75760690
25.15759998,121.75760774
25.15760047,121.75760857
25.15760097,121.75760940
25.15760146,121.75761023
25.15760196,121.75761106
25.15760246,121.75761189
25.15760296,121.75761272
25.15760346,121.75761354
25.15760396,121.75761437
25.15760447,121.75761519
25.15760497,121.75761602
25.15760548,121.75761684
25.15760599,121.75761766
25.15760650,121.75761848
25.15760701,121.75761930
25.15760752,121.75762011
25.15760804,121.75762093
25.15760855,121.75762175
25.15760907,121.75762256
25.15760959,121.75762337
25.15761011,121.75762418
25.15761063,121.75762500
25.15761116,121.75762581
25.15761168,121.75762661
25.15761221,121.75762742
25.15761274,121.75762823
25.15761327,121.75762903
25.15761380,121.75762984
25.15761433,121.75763064
25.15761486,121.75763144
25.15761540,121.75763224
25.15761594,121.75763304
25.15761648,121.75763384
25.15761701,121.75763463
25.15761756,121.75763543
25.15761810,121.75763622
25.15761864,121.75763702
25.15761919,121.75763781
25.15761974,121.75763860
25.15762028,121.75763939
25.15762083,121.75764018
25.15762138,121.75764096
25.15762194,121.75764175
25.15762249,121.75764253
25.15762305,121.75764332
25.15762360,121.75764410
25.15762416,121.75764488
25.15762472,121.75764566
25.15762528,121.75764644
25.15762585,121.75764721
25.15762641,121.75764799
25.15762698,121.75764876
25.15762754,121.75764954
25.15762811,121.75765031
25.15762868,121.75765108
25.15762925,121.75765185
25.15762982,121.75765262
25.15763040,121.75765339
25.15763097,121.75765415
25.15763155,121.75765492
25.15763213,121.75765568
25.15763271,121.75765644
25.15763329,121.75765720
25.15763387,121.75765796
25.15763446,121.75765872
25.15763504,121.75765948
25.15763563,121.75766023
25.15763621,121.75766099
25.15763680,121.75766174
25.15763739,121.75766249
25.15763799,121.75766324
25.15763858,121.75766399
25.15763917,121.75766474
25.15763977,121.75766549
25.15764037,121.75766623
25.15764097,121.75766698
25.15764157,121.75766772
25.15764217,121.75766846
25.15764277,121.75766920
25.15764337,121.75766994
25.15764398,121.75767068
25.15764459,121.75767141
25.15764519,121.75767215
25.15764580,121.75767288
25.15764641,121.75767361
25.15764703,121.75767434
25.15764764,121.75767507
25.15764826,121.75767580
25.15764887,121.75767653
25.15764949,121.75767725
25.15765011,121.75767798
25.15765073,121.75767870
25.15765135,121.75767942
25.15765197,121.75768014
25.15765260,121.75768086
25.15765322,121.75768158
25.15765385,121.75768229
25.15765448,121.75768301
25.15765511,121.75768372
25.15765574,121.75768443
25.15765637,121.75768514
25.15765700,121.75768585
25.15765764,121.75768656
25.15765827,121.75768726
25.15765891,121.75768797
25.15765955,121.75768867
25.15766019,121.75768937
25.15766083,121.75769007
25.15766147,121.75769077
25.15766211,121.75769147
25.15766276,121.75769217
25.15766340,121.75769286
25.15766405,121.75769355
25.15766470,121.75769424
25.15766535,121.75769494
25.15766600,121.75769562
25.15766665,121.75769631
25.15766730,121.75769700
25.15766796,121.75769768
25.15766862,121.75769837
25.15766927,121.75769905
25.15766993,121.75769973
25.15767059,121.75770041
25.15767125,121.75770108
25.15767191,121.75770176
25.15767258,121.75770243
25.15767324,121.75770311
25.15767391,121.75770378
25.15767457,121.75770445
25.15767524,121.75770512
25.15767591,121.75770579
25.15767658,121.75770645
25.15767726,121.75770712
25.15767793,121.75770778
25.15767860,121.75770844
25.15767928,121.75770910
25.15767995,121.75770976
25.15768063,121.75771041
25.15768131,121.75771107
25.15768199,121.75771172
25.15768267,121.75771238
25.15768336,121.75771303
25.15768404,121.75771368
25.15768473,121.75771432
25.15768541,121.75771497
25.15768610,121.75771561
25.15768679,121.75771626
25.15768748,121.75771690
25.15768817,121.75771754
25.15768886,121.75771818
25.15768955,121.75771882
25.15769025,121.75771945
25.15769094,121.75772009
25.15769164,121.75772072
25.15769234,121.75772135
25.15769304,121.75772198
25.15769374,121.75772261
25.15769444,121.75772323
25.15769514,121.75772386
25.15769585,121.75772448
25.15769655,121.75772510
25.15769726,121.75772572
25.15769796,121.75772634
25.15769867,121.75772696
25.15769938,121.75772758
25.15770009,121.75772819
25.15770080,121.75772880
25.15770151,121.75772941
25.15770223,121.75773002
25.15770294,121.75773063
25.15770366,121.75773124
25.15770438,121.75773184
25.15770509,121.75773244
25.15770581,121.75773305
25.15770653,121.75773365
25.15770726,121.75773424
25.15770798,121.75773484
25.15770870,121.75773544
25.15770943,121.75773603
25.15771015,121.75773662
25.15771088,121.75773721
25.15771161,121.75773780
25.15771234,121.75773839
25.15771307,121.75773897
25.15771380,121.75773956
25.15771453,121.75774014
25.15771526,121.75774072
25.15771600,121.75774130
25.15771673,121.75774188
25.15771747,121.75774245
25.15771821,121.75774303
25.15771894,121.75774360
25.15771968,121.75774417
25.15772042,121.75774474
25.15772117,121.75774531
25.15772191,121.75774587
25.15772265,121.75774644
25.15772340,121.75774700
25.15772414,121.75774756
25.15772489,121.75774812
25.15772564,121.75774868
25.15772639,121.75774923
25.15772714,121.75774979
25.15772789,121.75775034
25.15772864,121.75775089
25.15772939,121.75775144
25.15773014,121.75775199
25.15773090,121.75775254
25.15773166,121.75775308
25.15773241,121.75775363
25.15773317,121.75775417
25.15773393,121.75775471
25.15773469,121.75775524
25.15773545,121.75775578
25.15773621,121.75775632
25.15773697,121.75775685
25.15773774,121.75775738
25.15773850,121.75775791
25.15773927,121.75775844
25.15774003,121.75775896
25.15774080,121.75775949
25.15774157,121.75776001
25.15774234,121.75776053
25.15774311,121.75776105
25.15774388,121.75776157
25.15774465,121.75776209
25.15774543,121.75776260
25.15774620,121.75776311
25.15774698,121.75776362
25.15774775,121.75776413
25.15774853,121.75776464
25.15774931,121.75776515
25.15775008,121.75776565
25.15775086,121.75776615
25.15775164,121.75776665
25.15775243,121.75776715
25.15775321,121.75776765
25.15775399,121.75776814
25.15775478,121.75776864
25.15775556,121.75776913
25.15775635,121.75776962
25.15775713,121.75777011
25.15775792,121.75777060
25.15775871,121.75777108
25.15775950,121.75777157
25.15776029,121.75777205
25.15776108,121.75777253
25.15776187,121.75777301
25.15776267,121.75777348
25.15776346,121.75777396
25.15776426,121.75777443
25.15776505,121.75777490
25.15776585,121.75777537
25.15776664,121.75777584
25.15776744,121.75777630
25.15776824,121.75777677
25.15776904,121.75777723
25.15776984,121.75777769
25.15777064,121.75777815
25.15777145,121.75777861
25.15777225,121.75777906
25.15777305,121.75777952
25.15777386,121.75777997
25.15777466,121.75778042
25.15777547,121.75778087
25.15777628,121.75778131
25.15777709,121.75778176
25.15777790,121.75778220
25.15777871,121.75778264
25.15777952,121.75778308
25.15778033,121.75778352
25.15778114,121.75778396
25.15778195,121.75778439
25.15778277,121.75778482
25.15778358,121.75778525
25.15778440,121.75778568
25.15778521,121.75778611
25.15778603,121.75778653
25.15778685,121.75778696
25.15778766,121.75778738
25.15778848,121.75778780
25.15778930,121.75778822
25.15779012,121.75778863
25.15779095,121.75778905
25.15779177,121.75778946
25.15779259,121.75778987
25.15779341,121.75779028
25.15779424,121.75779068
25.15779506,121.75779109
25.15779589,121.75779149
25.15779672,121.75779190
25.15779754,121.75779230
25.15779837,121.75779269
25.15779920,121.75779309
25.15780003,121.75779348
25.15780086,121.75779388
25.15780169,121.75779427
25.15780252,121.75779466
25.15780336,121.75779504
25.15780419,121.75779543
25.15780502,121.75779581
25.15780586,121.75779619
25.15780669,121.75779657
25.15780753,121.75779695
25.15780837,121.75779733
25.15780920,121.75779770
25.15781004,121.75779807
25.15781088,121.75779844
25.15781172,121.75779881
25.15781256,121.75779918
25.15781340,121.75779954
25.15781424,121.75779991
25.15781508,121.75780027
25.15781592,121.75780063
25.15781677,121.75780098
25.15781761,121.75780134
25.15781846,121.75780169
25.15781930,121.75780205
25.15782015,121.75780240
25.15782099,121.75780274
25.15782184,121.75780309
25.15782269,121.75780344
25.15782354,121.75780378
25.15782439,121.75780412
25.15782524,121.75780446
25.15782609,121.75780479
25.15782694,121.75780513
25.15782779,121.75780546
25.15782864,121.75780579
25.15782949,121.75780612
25.15783035,121.75780645
25.15783120,121.75780678
25.15783205,121.75780710
25.15783291,121.75780742
25.15783376,121.75780774
25.15783462,121.75780806
25.15783548,121.75780838
25.15783634,121.75780869
25.15783719,121.75780901
25.15783805,121.75780932
25.15783891,121.75780963
25.15783977,121.75780993
25.15784063,121.75781024
25.15784149,121.75781054
25.15784235,121.75781084
25.15784321,121.75781114
25.15784408,121.75781144
25.15784494,121.75781173
25.15784580,121.75781203
25.15784667,121.75781232
25.15784753,121.75781261
25.15784840,121.75781290
25.15784926,121.75781318
25.15785013,121.75781347
25.15785099,121.75781375
25.15785186,121.75781403
25.15785273,121.75781431
25.15785360,121.75781459
25.15785447,121.75781486
25.15785533,121.75781513
25.15785620,121.75781540
25.15785707,121.75781567
25.15785795,121.75781594
25.15785882,121.75781620
25.15785969,121.75781647
25.15786056,121.75781673
25.15786143,121.75781699
25.15786231,121.75781725
25.15786318,121.75781750
25.15786405,121.75781775
25.15786493,121.75781801
25.15786580,121.75781826
25.15786668,121.75781850
25.15786755,121.75781875
25.15786843,121.75781899
25.15786931,121.75781924
25.15787018,121.75781948
25.15787106,121.75781971
25.15787194,121.75781995
25.15787282,121.75782018
25.15787370,121.75782042
25.15787457,121.75782065
25.15787545,121.75782088
25.15787633,121.75782110
25.15787721,121.75782133
25.15787810,121.75782155
25.15787898,121.75782177
25.15787986,121.75782199
25.15788074,121.75782221
25.15788162,121.75782242
25.15788251,121.75782263
25.15788339,121.75782284
25.15788427,121.75782305
25.15788516,121.75782326
25.15788604,121.75782347
25.15788693,121.75782367
25.15788781,121.75782387
25.15788870,121.75782407
25.15788958,121.75782427
25.15789047,121.75782446
25.15789135,121.75782466
25.15789224,121.75782485
25.15789313,121.75782504
25.15789402,121.75782522
25.15789490,121.75782541
25.15789579,121.75782559
25.15789668,121.75782578
25.15789757,121.75782596
25.15789846,121.75782613
25.15789935,121.75782631
25.15790024,121.75782648
25.15790113,121.75782666
25.15790202,121.75782683
25.15790291,121.75782699
25.15790380,121.75782716
25.15790469,121.75782732
25.15790558,121.75782749
25.15790648,121.75782765
25.15790737,121.75782780
25.15790826,121.75782796
25.15790915,121.75782812
25.15791005,121.75782827
25.15791094,121.75782842
25.15791183,121.75782857
25.15791273,121.75782871
25.15791362,121.75782886
25.15791452,121.75782900
25.15791541,121.75782914
25.15791631,121.75782928
25.15791720,121.75782942
25.15791810,121.75782955
25.15791899,121.75782968
25.15791989,121.75782981
25.15792079,121.75782994
25.15792168,121.75783007
25.15792258,121.75783019
25.15792348,121.75783032
25.15792437,121.75783044
25.15792527,121.75783056
25.15792617,121.75783067
25.15792707,121.75783079
25.15792796,121.75783090
25.15792886,121.75783101
25.15792976,121.75783112
25.15793066,121.75783123
25.15793156,121.75783133
25.15793246,121.75783144
25.15793336,121.75783154
25.15793425,121.75783164
25.15793515,121.75783173
25.15793605,121.75783183
25.15793695,121.75783192
25.15793785,121.75783201
25.15793875,121.75783210
25.15793965,121.75783219
25.15794056,121.75783228
25.15794146,121.75783236
25.15794236,121.75783244
25.15794326,121.75783252
25.15794416,121.75783260
25.15794506,121.75783267
25.15794596,121.75783275
25.15794686,121.75783282
25.15794776,121.75783289
25.15794867,121.75783295
25.15794957,121.75783302
25.15795047,121.75783308
25.15795137,121.75783315
25.15795227,121.75783320
25.15795318,121.75783326
25.15795408,121.75783332
25.15795498,121.75783337
25.15795588,121.75783342
25.15795679,121.75783347
25.15795769,121.75783352
25.15795859,121.75783357
25.15795950,121.75783361
25.15796040,121.75783365
25.15796130,121.75783369
25.15796221,121.75783373
25.15796311,121.75783376
25.15796401,121.75783380
25.15796492,121.75783383
25.15796582,121.75783386
25.15796672,121.75783389
25.15796763,121.75783391
25.15796853,121.75783394
25.15796943,121.75783396
25.15797034,121.75783398
25.15797124,121.75783400
25.15797214,121.75783401
25.15797305,121.75783403
25.15797395,121.75783404
25.15797486,121.75783405
25.15797576,121.75783405
25.15797666,121.75783406
25.15797757,121.75783406
25.15797847,121.75783407
25.15797937,121.75783407
25.15798028,121.75783406
25.15798118,121.75783406
25.15798209,121.75783405
25.15798299,121.75783405
25.15798389,121.75783404
25.15798480,121.75783402
25.15798570,121.75783401
25.15798661,121.75783399
25.15798751,121.75783398
25.15798841,121.75783396
25.15798932,121.75783393
25.15799022,121.75783391
25.15799112,121.75783388
25.15799203,121.75783386
25.15799293,121.75783383
25.15799383,121.75783379
25.15799474,121.75783376
25.15799564,121.75783372
25.15799654,121.75783369
25.15799745,121.75783365
25.15799835,121.75783360
25.15799925,121.75783356
25.15800016,121.75783352
25.15800106,121.75783347
25.15800196,121.75783342
25.15800286,121.75783337
25.15800377,121.75783331
25.15800467,121.75783326
25.15800557,121.75783320
25.15800647,121.75783314
25.15800738,121.75783308
25.15800828,121.75783301
25.15800918,121.75783295
25.15801008,121.75783288
25.15801098,121.75783281
25.15801188,121.75783274
25.15801279,121.75783267
25.15801369,121.75783259
25.15801459,121.75783251
25.15801549,121.75783243
25.15801639,121.75783235
25.15801729,121.75783227
25.15801819,121.75783218
25.15801909,121.75783209
25.15801999,121.75783201
25.15802089,121.75783191
25.15802179,121.75783182
25.15802269,121.75783172
25.15802359,121.75783163
25.15802449,121.75783153
25.15802539,121.75783143
25.15802629,121.75783132
25.15802719,121.75783122
25.15802809,121.75783111
25.15802898,121.75783100
25.15802988,121.75783089
25.15803078,121.75783078
25.15803168,121.75783066
25.15803257,121.75783055
25.15803347,121.75783043
25.15803437,121.75783030
25.15803527,121.75783018
25.15803616,121.75783006
25.15803706,121.75782993
25.15803796,121.75782980
25.15803885,121.75782967
25.15803975,121.75782954
25.15804064,121.75782940
25.15804154,121.75782927
25.15804243,121.75782913
25.15804333,121.75782899
25.15804422,121.75782884
25.15804512,121.75782870
25.15804601,121.75782855
25.15804690,121.75782840
25.15804780,121.75782825
25.15804869,121.75782810
25.15804958,121.75782794
25.15805048,121.75782779
25.15805137,121.75782763
25.15805226,121.75782747
25.15805315,121.75782731
25.15805404,121.75782714
25.15805493,121.75782698
25.15805583,121.75782681
25.15805672,121.75782664
25.15805761,121.75782647
25.15805850,121.75782629
25.15805939,121.75782612
25.15806027,121.75782594
25.15806116,121.75782576
25.15806205,121.75782558
25.15806294,121.75782539
25.15806383,121.75782521
25.15806472,121.75782502
25.15806560,121.75782483
25.15806649,121.75782464
25.15806738,121.75782444
25.15806826,121.75782425
25.15806915,121.75782405
25.15807003,121.75782385
25.15807092,121.75782365
25.15807180,121.75782344
25.15807269,121.75782324
25.15807357,121.75782303
25.15807445,121.75782282
25.15807534,121.75782261
25.15807622,121.75782240
25.15807710,121.75782218
25.15807799,121.75782197
25.15807887,121.75782175
25.15807975,121.75782153
25.15808063,121.75782130
25.15808151,121.75782108
25.15808239,121.75782085
25.15808327,121.75782062
25.15808415,121.75782039
25.15808503,121.75782016
25.15808591,121.75781993
25.15808678,121.75781969
25.15808766,121.75781945
25.15808854,121.75781921
25.15808941,121.75781897
25.15809029,121.75781872
25.15809117,121.75781848
25.15809204,121.75781823
25.15809292,121.75781798
25.15809379,121.75781773
25.15809466,121.75781747
25.15809554,121.75781722
25.15809641,121.75781696
25.15809728,121.75781670
25.15809815,121.75781644
25.15809903,121.75781618
25.15809990,121.75781591
25.15810077,121.75781564
25.15810164,121.75781538
25.15810251,121.75781510
25.15810338,121.75781483
25.15810424,121.75781456
25.15810511,121.75781428
25.15810598,121.75781400
25.15810685,121.75781372
25.15810771,121.75781344
25.15810858,121.75781315
25.15810945,121.75781287
25.15811031,121.75781258
25.15811118,121.75781229
25.15811204,121.75781200
25.15811290,121.75781170
25.15811377,121.75781141
25.15811463,121.75781111
25.15811549,121.75781081
25.15811635,121.75781051
25.15811721,121.75781021
25.15811807,121.75780990
25.15811893,121.75780959
25.15811979,121.75780928
25.15812065,121.75780897
25.15812151,121.75780866
25.15812236,121.75780835
25.15812322,121.75780803
25.15812408,121.75780771
25.15812493,121.75780739
25.15812579,121.75780707
25.15812664,121.75780674
25.15812749,121.75780642
25.15812835,121.75780609
25.15812920,121.75780576
25.15813005,121.75780543
25.15813090,121.75780510
25.15813175,121.75780476
25.15813260,121.75780442
25.15813345,121.75780408
25.15813430,121.75780374
25.15813515,121.75780340
25.15813600,121.75780306
25.15813685,121.75780271
25.15813769,121.75780236
25.15813854,121.75780201
25.15813938,121.75780166
25.15814023,121.75780130
25.15814107,121.75780095
25.15814191,121.75780059
25.15814276,121.75780023
25.15814360,121.75779987
25.15814444,121.75779951
25.15814528,121.75779914
25.15814612,121.75779877
25.15814696,121.75779841
25.15814780,121.75779803
25.15814864,121.75779766
25.15814947,121.75779729
25.15815031,121.75779691
25.15815115,121.75779653
25.15815198,121.75779615
25.15815282,121.75779577
25.15815365,121.75779539
25.15815448,121.75779500
25.15815531,121.75779462
25.15815615,121.75779423
25.15815698,121.75779384
25.15815781,121.75779344
25.15815864,121.75779305
25.15815947,121.75779265
25.15816029,121.75779225
25.15816112,121.75779185
25.15816195,121.75779145
25.15816277,121.75779105
25.15816360,121.75779064
25.15816442,121.75779024
25.15816525,121.75778983
25.15816607,121.75778942
25.15816689,121.75778900
25.15816771,121.75778859
25.15816853,121.75778817
25.15816935,121.75778775
25.15817017,121.75778733
25.15817099,121.75778691
25.15817181,121.75778649
25.15817263,121.75778606
25.15817344,121.75778564
25.15817426,121.75778521
25.15817507,121.75778478
25.15817588,121.75778434
25.15817670,121.75778391
25.15817751,121.75778347
25.15817832,121.75778304
25.15817913,121.75778260
25.15817994,121.75778216
25.15818075,121.75778171
25.15818156,121.75778127
25.15818236,121.75778082
25.15818317,121.75778037
25.15818398,121.75777992
25.15818478,121.75777947
25.15818559,121.75777902
25.15818639,121.75777856
25.15818719,121.75777810
25.15818799,121.75777764
25.15818879,121.75777718
25.15818959,121.75777672
25.15819039,121.75777626
25.15819119,121.75777579
25.15819199,121.75777532
25.15819278,121.75777485
25.15819358,121.75777438
25.15819437,121.75777391
25.15819517,121.75777343
25.15819596,121.75777296
25.15819675,121.75777248
25.15819754,121.75777200
25.15819833,121.75777152
25.15819912,121.75777103
25.15819991,121.75777055
25.15820070,121.75777006
25.15820149,121.75776957
25.15820227,121.75776908
25.15820306,121.75776859
25.15820384,121.75776809
25.15820462,121.75776760
25.15820541,121.75776710
25.15820619,121.75776660
25.15820697,121.75776610
25.15820775,121.75776560
25.15820853,121.75776509
25.15820930,121.75776459
25.15821008,121.75776408
25.15821086,121.75776357
25.15821163,121.75776306
25.15821241,121.75776255
25.15821318,121.75776203
25.15821395,121.75776152
25.15821472,121.75776100
25.15821549,121.75776048
25.15821626,121.75775996
