# Timestamp: 2026-04-23_16-10-35
# Goal: [121.7515218508801, 25.15946221062569]
lat,lon
25.15981000,121.75981000
25.15981046,121.75981085
25.15981092,121.75981171
25.15981138,121.75981256
25.15981185,121.75981341
25.15981232,121.75981426
25.15981278,121.75981511
25.15981325,121.75981596
25.15981372,121.75981681
25.15981420,121.75981766
25.15981467,121.75981850
25.15981514,121.75981935
25.15981562,121.75982019
25.15981610,121.75982103
25.15981658,121.75982188
25.15981706,121.75982272
25.15981754,121.75982356
25.15981803,121.75982439
25.15981852,121.75982523
25.15981900,121.75982607
25.15981949,121.75982690
25.15981998,121.75982774
25.15982047,121.75982857
25.15982097,121.75982940
25.15982146,121.75983023
25.15982196,121.75983106
25.15982246,121.75983189
25.15982296,121.75983272
25.15982346,121.75983355
25.15982396,121.75983437
25.15982447,121.75983520
25.15982497,121.75983602
25.15982548,121.75983684
25.15982599,121.75983766
25.15982650,121.75983848
25.15982701,121.75983930
25.15982752,121.75984012
25.15982804,121.75984093
25.15982856,121.75984175
25.15982907,121.75984256
25.15982959,121.75984338
25.15983011,121.75984419
25.15983064,121.75984500
25.15983116,121.75984581
25.15983168,121.75984662
25.15983221,121.75984742
25.15983274,121.75984823
25.15983327,121.75984903
25.15983380,121.75984984
25.15983433,121.75985064
25.15983487,121.75985144
25.15983540,121.75985224
25.15983594,121.75985304
25.15983648,121.75985384
25.15983702,121.75985464
25.15983756,121.75985543
25.15983810,121.75985623
25.15983864,121.75985702
25.15983919,121.75985781
25.15983974,121.75985860
25.15984028,121.75985939
25.15984083,121.75986018
25.15984139,121.75986097
25.15984194,121.75986175
25.15984249,121.75986254
25.15984305,121.75986332
25.15984361,121.75986410
25.15984416,121.75986488
25.15984472,121.75986566
25.15984528,121.75986644
25.15984585,121.75986722
25.15984641,121.75986799
25.15984698,121.75986877
25.15984754,121.75986954
25.15984811,121.75987031
25.15984868,121.75987109
25.15984925,121.75987186
25.15984983,121.75987262
25.15985040,121.75987339
25.15985097,121.75987416
25.15985155,121.75987492
25.15985213,121.75987569
25.15985271,121.75987645
25.15985329,121.75987721
25.15985387,121.75987797
25.15985446,121.75987873
25.15985504,121.75987948
25.15985563,121.75988024
25.15985622,121.75988099
25.15985680,121.75988175
25.15985740,121.75988250
25.15985799,121.75988325
25.15985858,121.75988400
25.15985918,121.75988475
25.15985977,121.75988549
25.15986037,121.75988624
25.15986097,121.75988698
25.15986157,121.75988773
25.15986217,121.75988847
25.15986277,121.75988921
25.15986338,121.75988995
25.15986398,121.75989068
25.15986459,121.75989142
25.15986520,121.75989215
25.15986581,121.75989289
25.15986642,121.75989362
25.15986703,121.75989435
25.15986764,121.75989508
25.15986826,121.75989581
25.15986887,121.75989653
25.15986949,121.75989726
25.15987011,121.75989798
25.15987073,121.75989871
25.15987135,121.75989943
25.15987197,121.75990015
25.15987260,121.75990087
25.15987322,121.75990158
25.15987385,121.75990230
25.15987448,121.75990301
25.15987511,121.75990373
