# Timestamp: 2026-04-21_22-27-15
# Goal: [121.74877427399569, 25.157713962114105]
lat,lon
25.15513000,121.75513000
25.15513046,121.75513085
25.15513092,121.75513171
25.15513138,121.75513256
25.15513185,121.75513341
25.15513232,121.75513426
25.15513278,121.75513511
25.15513325,121.75513596
25.15513372,121.75513681
25.15513420,121.75513766
25.15513467,121.75513850
25.15513514,121.75513935
25.15513562,121.75514019
25.15513610,121.75514103
25.15513658,121.75514188
25.15513706,121.75514272
25.15513755,121.75514356
25.15513803,121.75514439
25.15513852,121.75514523
25.15513900,121.75514607
25.15513949,121.75514690
25.15513998,121.75514774
25.15514048,121.75514857
25.15514097,121.75514940
25.15514147,121.75515023
25.15514196,121.75515106
25.15514246,121.75515189
25.15514296,121.75515272
25.15514346,121.75515355
25.15514396,121.75515437
25.15514447,121.75515519
25.15514497,121.75515602
25.15514548,121.75515684
25.15514599,121.75515766
25.15514650,121.75515848
25.15514701,121.75515930
25.15514753,121.75516012
25.15514804,121.75516093
25.15514856,121.75516175
25.15514907,121.75516256
25.15514959,121.75516338
25.15515011,121.75516419
25.15515064,121.75516500
25.15515116,121.75516581
25.15515169,121.75516662
25.15515221,121.75516742
25.15515274,121.75516823
25.15515327,121.75516903
25.15515380,121.75516984
25.15515433,121.75517064
25.15515487,121.75517144
25.15515540,121.75517224
25.15515594,121.75517304
25.15515648,121.75517384
25.15515702,121.75517463
25.15515756,121.75517543
25.15515810,121.75517622
25.15515865,121.75517702
25.15515919,121.75517781
25.15515974,121.75517860
25.15516029,121.75517939
25.15516084,121.75518018
25.15516139,121.75518097
25.15516194,121.75518175
25.15516250,121.75518254
25.15516305,121.75518332
25.15516361,121.75518410
25.15516417,121.75518488
25.15516473,121.75518566
25.15516529,121.75518644
25.15516585,121.75518722
25.15516642,121.75518799
25.15516698,121.75518877
25.15516755,121.75518954
25.15516812,121.75519031
25.15516869,121.75519108
25.15516926,121.75519185
25.15516983,121.75519262
25.15517040,121.75519339
25.15517098,121.75519416
25.15517156,121.75519492
25.15517213,121.75519568
25.15517271,121.75519645
25.15517329,121.75519721
25.15517388,121.75519797
25.15517446,121.75519873
25.15517505,121.75519948
25.15517563,121.75520024
25.15517622,121.75520099
25.15517681,121.75520175
25.15517740,121.75520250
25.15517799,121.75520325
25.15517859,121.75520400
25.15517918,121.75520475
25.15517978,121.75520549
25.15518037,121.75520624
25.15518097,121.75520698
25.15518157,121.75520772
25.15518217,121.75520847
25.15518278,121.75520921
25.15518338,121.75520994
25.15518399,121.75521068
25.15518459,121.75521142
25.15518520,121.75521215
25.15518581,121.75521289
25.15518642,121.75521362
25.15518703,121.75521435
25.15518765,121.75521508
25.15518826,121.75521581
25.15518888,121.75521653
25.15518950,121.75521726
25.15519012,121.75521798
25.15519074,121.75521870
25.15519136,121.75521943
25.15519198,121.75522015
25.15519260,121.75522086
25.15519323,121.75522158
25.15519386,121.75522230
25.15519448,121.75522301
25.15519511,121.75522372
25.15519574,121.75522444
25.15519638,121.75522515
25.15519701,121.75522585
25.15519764,121.75522656
25.15519828,121.75522727
25.15519892,121.75522797
25.15519956,121.75522868
25.15520019,121.75522938
25.15520084,121.75523008
25.15520148,121.75523078
25.15520212,121.75523147
25.15520277,121.75523217
25.15520341,121.75523286
25.15520406,121.75523356
25.15520471,121.75523425
25.15520536,121.75523494
25.15520601,121.75523563
25.15520666,121.75523632
25.15520731,121.75523700
25.15520797,121.75523769
25.15520863,121.75523837
25.15520928,121.75523905
25.15520994,121.75523973
