# Timestamp: 2026-04-23_15-45-27
# Goal: [121.75403021978964, 25.158898635565134]
lat,lon
25.16170000,121.76170000
25.16170046,121.76170085
25.16170092,121.76170171
25.16170138,121.76170256
25.16170185,121.76170341
25.16170231,121.76170426
25.16170278,121.76170511
25.16170325,121.76170596
25.16170372,121.76170681
25.16170419,121.76170766
25.16170467,121.76170850
25.16170514,121.76170935
25.16170562,121.76171019
25.16170610,121.76171103
25.16170658,121.76171188
25.16170706,121.76171272
25.16170754,121.76171356
25.16170803,121.76171439
25.16170851,121.76171523
25.16170900,121.76171607
25.16170949,121.76171690
25.16170998,121.76171774
25.16171047,121.76171857
25.16171097,121.76171940
25.16171146,121.76172023
25.16171196,121.76172106
25.16171246,121.76172189
25.16171296,121.76172272
25.16171346,121.76172354
25.16171396,121.76172437
25.16171447,121.76172519
25.16171497,121.76172602
25.16171548,121.76172684
25.16171599,121.76172766
25.16171650,121.76172848
25.16171701,121.76172930
25.16171752,121.76173012
25.16171804,121.76173093
25.16171855,121.76173175
25.16171907,121.76173256
25.16171959,121.76173337
25.16172011,121.76173419
25.16172063,121.76173500
25.16172116,121.76173581
25.16172168,121.76173661
25.16172221,121.76173742
25.16172274,121.76173823
25.16172327,121.76173903
25.16172380,121.76173984
25.16172433,121.76174064
25.16172486,121.76174144
25.16172540,121.76174224
25.16172594,121.76174304
25.16172647,121.76174384
25.16172701,121.76174463
25.16172755,121.76174543
25.16172810,121.76174622
25.16172864,121.76174702
25.16172919,121.76174781
25.16172973,121.76174860
25.16173028,121.76174939
25.16173083,121.76175018
25.16173138,121.76175096
25.16173194,121.76175175
25.16173249,121.76175253
25.16173304,121.76175332
25.16173360,121.76175410
25.16173416,121.76175488
25.16173472,121.76175566
25.16173528,121.76175644
25.16173584,121.76175722
25.16173641,121.76175799
25.16173697,121.76175877
25.16173754,121.76175954
25.16173811,121.76176031
25.16173868,121.76176108
25.16173925,121.76176185
25.16173982,121.76176262
25.16174040,121.76176339
25.16174097,121.76176415
25.16174155,121.76176492
25.16174213,121.76176568
25.16174271,121.76176645
25.16174329,121.76176721
25.16174387,121.76176797
25.16174445,121.76176872
25.16174504,121.76176948
25.16174562,121.76177024
25.16174621,121.76177099
25.16174680,121.76177174
25.16174739,121.76177250
25.16174798,121.76177325
25.16174858,121.76177400
25.16174917,121.76177474
25.16174977,121.76177549
25.16175036,121.76177624
25.16175096,121.76177698
25.16175156,121.76177772
25.16175216,121.76177846
25.16175277,121.76177920
25.16175337,121.76177994
25.16175398,121.76178068
25.16175458,121.76178142
25.16175519,121.76178215
25.16175580,121.76178288
25.16175641,121.76178362
25.16175702,121.76178435
25.16175764,121.76178508
25.16175825,121.76178580
25.16175887,121.76178653
25.16175948,121.76178726
25.16176010,121.76178798
25.16176072,121.76178870
25.16176135,121.76178942
25.16176197,121.76179014
25.16176259,121.76179086
25.16176322,121.76179158
25.16176384,121.76179229
25.16176447,121.76179301
25.16176510,121.76179372
25.16176573,121.76179443
25.16176636,121.76179514
25.16176700,121.76179585
25.16176763,121.76179656
25.16176827,121.76179727
25.16176890,121.76179797
25.16176954,121.76179867
25.16177018,121.76179938
25.16177082,121.76180008
25.16177146,121.76180077
25.16177211,121.76180147
25.16177275,121.76180217
25.16177340,121.76180286
25.16177404,121.76180356
25.16177469,121.76180425
25.16177534,121.76180494
25.16177599,121.76180563
25.16177665,121.76180632
25.16177730,121.76180700
25.16177795,121.76180769
25.16177861,121.76180837
25.16177927,121.76180905
25.16177993,121.76180973
25.16178059,121.76181041
25.16178125,121.76181109
25.16178191,121.76181176
25.16178257,121.76181244
25.16178324,121.76181311
25.16178390,121.76181378
25.16178457,121.76181445
25.16178524,121.76181512
25.16178591,121.76181579
25.16178658,121.76181646
25.16178725,121.76181712
25.16178792,121.76181778
25.16178860,121.76181844
25.16178927,121.76181910
25.16178995,121.76181976
25.16179063,121.76182042
25.16179131,121.76182107
25.16179199,121.76182173
25.16179267,121.76182238
25.16179335,121.76182303
25.16179403,121.76182368
25.16179472,121.76182433
25.16179541,121.76182497
25.16179609,121.76182562
25.16179678,121.76182626
25.16179747,121.76182690
25.16179816,121.76182754
25.16179885,121.76182818
25.16179955,121.76182882
25.16180024,121.76182946
25.16180094,121.76183009
25.16180163,121.76183072
25.16180233,121.76183135
25.16180303,121.76183198
25.16180373,121.76183261
25.16180443,121.76183324
25.16180513,121.76183386
25.16180584,121.76183449
25.16180654,121.76183511
25.16180725,121.76183573
25.16180796,121.76183635
25.16180866,121.76183696
25.16180937,121.76183758
25.16181008,121.76183819
25.16181079,121.76183881
25.16181151,121.76183942
25.16181222,121.76184003
25.16181294,121.76184064
25.16181365,121.76184124
25.16181437,121.76184185
25.16181509,121.76184245
25.16181581,121.76184305
25.16181653,121.76184365
25.16181725,121.76184425
25.16181797,121.76184485
25.16181869,121.76184544
25.16181942,121.76184603
25.16182014,121.76184663
25.16182087,121.76184722
25.16182160,121.76184781
25.16182233,121.76184839
25.16182306,121.76184898
25.16182379,121.76184956
25.16182452,121.76185014
25.16182525,121.76185073
