# Timestamp: 2026-04-23_15-43-20
# Goal: [121.74976092897194, 25.16357974510538]
lat,lon
25.15792000,121.75792000
25.15792046,121.75792086
25.15792092,121.75792171
25.15792139,121.75792256
25.15792185,121.75792342
25.15792232,121.75792427
25.15792278,121.75792512
25.15792325,121.75792597
25.15792372,121.75792681
25.15792420,121.75792766
25.15792467,121.75792851
25.15792515,121.75792935
25.15792562,121.75793020
25.15792610,121.75793104
25.15792658,121.75793188
25.15792707,121.75793272
25.15792755,121.75793356
25.15792803,121.75793440
25.15792852,121.75793524
25.15792901,121.75793608
25.15792950,121.75793691
25.15792999,121.75793775
25.15793048,121.75793858
25.15793098,121.75793941
25.15793147,121.75794024
25.15793197,121.75794107
25.15793247,121.75794190
25.15793297,121.75794273
25.15793347,121.75794356
25.15793397,121.75794438
25.15793448,121.75794521
25.15793498,121.75794603
25.15793549,121.75794685
25.15793600,121.75794768
25.15793651,121.75794850
25.15793702,121.75794931
25.15793753,121.75795013
25.15793805,121.75795095
25.15793857,121.75795177
25.15793908,121.75795258
25.15793960,121.75795339
25.15794013,121.75795421
25.15794065,121.75795502
25.15794117,121.75795583
25.15794170,121.75795664
25.15794222,121.75795744
25.15794275,121.75795825
25.15794328,121.75795905
25.15794381,121.75795986
25.15794435,121.75796066
25.15794488,121.75796146
25.15794542,121.75796226
25.15794595,121.75796306
25.15794649,121.75796386
25.15794703,121.75796466
25.15794757,121.75796545
25.15794812,121.75796625
25.15794866,121.75796704
25.15794921,121.75796783
25.15794975,121.75796863
25.15795030,121.75796942
25.15795085,121.75797020
25.15795141,121.75797099
25.15795196,121.75797178
25.15795251,121.75797256
25.15795307,121.75797335
25.15795363,121.75797413
25.15795419,121.75797491
25.15795475,121.75797569
25.15795531,121.75797647
25.15795587,121.75797725
25.15795643,121.75797802
25.15795700,121.75797880
25.15795757,121.75797957
25.15795814,121.75798035
25.15795871,121.75798112
25.15795928,121.75798189
25.15795985,121.75798266
25.15796043,121.75798342
25.15796100,121.75798419
25.15796158,121.75798495
25.15796216,121.75798572
25.15796274,121.75798648
25.15796332,121.75798724
25.15796390,121.75798800
25.15796448,121.75798876
25.15796507,121.75798952
25.15796566,121.75799027
25.15796625,121.75799103
25.15796684,121.75799178
25.15796743,121.75799253
25.15796802,121.75799329
25.15796861,121.75799404
25.15796921,121.75799478
25.15796980,121.75799553
25.15797040,121.75799628
25.15797100,121.75799702
25.15797160,121.75799776
25.15797220,121.75799851
25.15797281,121.75799925
25.15797341,121.75799998
25.15797402,121.75800072
25.15797462,121.75800146
25.15797523,121.75800219
25.15797584,121.75800293
25.15797645,121.75800366
25.15797707,121.75800439
25.15797768,121.75800512
25.15797830,121.75800585
25.15797891,121.75800658
25.15797953,121.75800730
25.15798015,121.75800803
25.15798077,121.75800875
25.15798139,121.75800947
25.15798201,121.75801019
25.15798264,121.75801091
25.15798327,121.75801163
25.15798389,121.75801234
25.15798452,121.75801306
25.15798515,121.75801377
25.15798578,121.75801448
25.15798641,121.75801519
25.15798705,121.75801590
25.15798768,121.75801661
25.15798832,121.75801732
25.15798896,121.75801802
25.15798959,121.75801872
25.15799023,121.75801943
25.15799088,121.75802013
25.15799152,121.75802083
25.15799216,121.75802152
25.15799281,121.75802222
25.15799345,121.75802292
25.15799410,121.75802361
25.15799475,121.75802430
25.15799540,121.75802499
25.15799605,121.75802568
25.15799670,121.75802637
25.15799736,121.75802706
25.15799801,121.75802774
25.15799867,121.75802842
25.15799933,121.75802911
25.15799999,121.75802979
25.15800065,121.75803047
25.15800131,121.75803114
25.15800197,121.75803182
25.15800264,121.75803249
25.15800330,121.75803317
25.15800397,121.75803384
25.15800463,121.75803451
25.15800530,121.75803518
25.15800597,121.75803585
25.15800664,121.75803651
25.15800732,121.75803718
25.15800799,121.75803784
25.15800867,121.75803850
25.15800934,121.75803916
25.15801002,121.75803982
25.15801070,121.75804048
25.15801138,121.75804113
25.15801206,121.75804179
25.15801274,121.75804244
25.15801342,121.75804309
25.15801411,121.75804374
25.15801479,121.75804439
25.15801548,121.75804503
25.15801617,121.75804568
25.15801686,121.75804632
25.15801755,121.75804697
25.15801824,121.75804761
25.15801893,121.75804824
25.15801963,121.75804888
25.15802032,121.75804952
25.15802102,121.75805015
25.15802171,121.75805079
25.15802241,121.75805142
25.15802311,121.75805205
25.15802381,121.75805267
25.15802451,121.75805330
25.15802522,121.75805393
25.15802592,121.75805455
25.15802663,121.75805517
25.15802733,121.75805579
25.15802804,121.75805641
25.15802875,121.75805703
25.15802946,121.75805764
25.15803017,121.75805826
25.15803088,121.75805887
25.15803160,121.75805948
25.15803231,121.75806009
25.15803302,121.75806070
25.15803374,121.75806131
25.15803446,121.75806191
25.15803518,121.75806251
25.15803590,121.75806312
25.15803662,121.75806372
25.15803734,121.75806431
25.15803806,121.75806491
25.15803879,121.75806551
25.15803951,121.75806610
25.15804024,121.75806669
25.15804097,121.75806728
25.15804170,121.75806787
25.15804242,121.75806846
25.15804316,121.75806905
25.15804389,121.75806963
25.15804462,121.75807021
25.15804535,121.75807079
25.15804609,121.75807137
25.15804682,121.75807195
25.15804756,121.75807253
25.15804830,121.75807310
25.15804904,121.75807367
25.15804978,121.75807424
25.15805052,121.75807481
25.15805126,121.75807538
25.15805200,121.75807595
25.15805275,121.75807651
25.15805349,121.75807707
25.15805424,121.75807764
25.15805499,121.75807820
25.15805574,121.75807875
25.15805649,121.75807931
25.15805724,121.75807986
25.15805799,121.75808042
25.15805874,121.75808097
25.15805949,121.75808152
25.15806025,121.75808207
25.15806100,121.75808261
25.15806176,121.75808316
25.15806252,121.75808370
25.15806328,121.75808424
25.15806403,121.75808478
25.15806479,121.75808532
25.15806556,121.75808586
25.15806632,121.75808639
25.15806708,121.75808692
25.15806785,121.75808746
25.15806861,121.75808799
25.15806938,121.75808851
25.15807014,121.75808904
25.15807091,121.75808956
25.15807168,121.75809009
25.15807245,121.75809061
25.15807322,121.75809113
25.15807399,121.75809165
25.15807477,121.75809216
25.15807554,121.75809268
25.15807632,121.75809319
25.15807709,121.75809370
25.15807787,121.75809421
25.15807865,121.75809472
25.15807942,121.75809522
25.15808020,121.75809573
25.15808098,121.75809623
25.15808176,121.75809673
25.15808255,121.75809723
25.15808333,121.75809773
25.15808411,121.75809822
25.15808490,121.75809872
25.15808568,121.75809921
25.15808647,121.75809970
25.15808726,121.75810019
25.15808805,121.75810067
25.15808884,121.75810116
25.15808963,121.75810164
25.15809042,121.75810213
25.15809121,121.75810261
25.15809200,121.75810308
25.15809280,121.75810356
25.15809359,121.75810403
25.15809439,121.75810451
25.15809518,121.75810498
25.15809598,121.75810545
25.15809678,121.75810592
25.15809758,121.75810638
25.15809838,121.75810685
25.15809918,121.75810731
25.15809998,121.75810777
25.15810078,121.75810823
25.15810158,121.75810869
25.15810239,121.75810914
25.15810319,121.75810959
25.15810400,121.75811005
25.15810480,121.75811050
25.15810561,121.75811094
25.15810642,121.75811139
25.15810723,121.75811184
25.15810804,121.75811228
25.15810885,121.75811272
25.15810966,121.75811316
25.15811047,121.75811360
25.15811128,121.75811403
25.15811210,121.75811447
25.15811291,121.75811490
25.15811373,121.75811533
25.15811454,121.75811576
25.15811536,121.75811619
25.15811618,121.75811661
25.15811699,121.75811703
25.15811781,121.75811746
25.15811863,121.75811787
25.15811945,121.75811829
25.15812027,121.75811871
25.15812110,121.75811912
25.15812192,121.75811954
25.15812274,121.75811995
25.15812357,121.75812035
25.15812439,121.75812076
25.15812522,121.75812117
25.15812604,121.75812157
25.15812687,121.75812197
25.15812770,121.75812237
25.15812853,121.75812277
25.15812936,121.75812317
25.15813019,121.75812356
25.15813102,121.75812395
25.15813185,121.75812434
25.15813268,121.75812473
25.15813352,121.75812512
25.15813435,121.75812550
25.15813518,121.75812589
25.15813602,121.75812627
25.15813686,121.75812665
25.15813769,121.75812703
25.15813853,121.75812740
25.15813937,121.75812777
25.15814021,121.75812815
25.15814104,121.75812852
25.15814188,121.75812889
25.15814273,121.75812925
25.15814357,121.75812962
25.15814441,121.75812998
25.15814525,121.75813034
25.15814609,121.75813070
25.15814694,121.75813106
25.15814778,121.75813141
25.15814863,121.75813177
25.15814947,121.75813212
25.15815032,121.75813247
25.15815117,121.75813282
25.15815202,121.75813316
25.15815286,121.75813351
25.15815371,121.75813385
25.15815456,121.75813419
25.15815541,121.75813453
25.15815626,121.75813487
25.15815711,121.75813520
25.15815797,121.75813553
25.15815882,121.75813587
25.15815967,121.75813619
25.15816053,121.75813652
25.15816138,121.75813685
25.15816224,121.75813717
25.15816309,121.75813749
25.15816395,121.75813781
25.15816480,121.75813813
25.15816566,121.75813845
25.15816652,121.75813876
25.15816738,121.75813907
25.15816824,121.75813938
25.15816910,121.75813969
25.15816996,121.75814000
25.15817082,121.75814031
25.15817168,121.75814061
25.15817254,121.75814091
25.15817340,121.75814121
25.15817427,121.75814151
25.15817513,121.75814180
25.15817599,121.75814209
25.15817686,121.75814239
25.15817772,121.75814268
25.15817859,121.75814296
25.15817946,121.75814325
25.15818032,121.75814353
25.15818119,121.75814381
25.15818206,121.75814409
25.15818293,121.75814437
25.15818380,121.75814465
25.15818466,121.75814492
25.15818553,121.75814520
25.15818640,121.75814547
25.15818728,121.75814574
25.15818815,121.75814600
25.15818902,121.75814627
25.15818989,121.75814653
25.15819076,121.75814679
25.15819164,121.75814705
25.15819251,121.75814731
25.15819338,121.75814756
25.15819426,121.75814782
25.15819513,121.75814807
25.15819601,121.75814832
25.15819688,121.75814856
25.15819776,121.75814881
25.15819864,121.75814905
25.15819951,121.75814929
25.15820039,121.75814953
25.15820127,121.75814977
25.15820215,121.75815001
25.15820303,121.75815024
25.15820391,121.75815047
25.15820479,121.75815070
25.15820567,121.75815093
25.15820655,121.75815116
25.15820743,121.75815138
25.15820831,121.75815160
