# Timestamp: 2026-04-23_15-45-14
# Goal: [121.75403021978964, 25.158898635565134]
lat,lon
25.16131000,121.76131000
25.16131046,121.76131085
25.16131092,121.76131171
25.16131138,121.76131256
25.16131185,121.76131341
25.16131231,121.76131426
25.16131278,121.76131511
25.16131325,121.76131596
25.16131372,121.76131681
25.16131419,121.76131766
25.16131467,121.76131850
25.16131514,121.76131935
25.16131562,121.76132019
25.16131610,121.76132103
25.16131658,121.76132187
25.16131706,121.76132271
25.16131754,121.76132355
25.16131803,121.76132439
25.16131851,121.76132523
25.16131900,121.76132607
25.16131949,121.76132690
25.16131998,121.76132773
25.16132047,121.76132857
25.16132097,121.76132940
25.16132146,121.76133023
25.16132196,121.76133106
25.16132246,121.76133189
25.16132296,121.76133271
25.16132346,121.76133354
25.16132396,121.76133437
25.16132446,121.76133519
25.16132497,121.76133601
25.16132548,121.76133683
25.16132598,121.76133766
25.16132650,121.76133848
25.16132701,121.76133929
25.16132752,121.76134011
25.16132803,121.76134093
25.16132855,121.76134174
25.16132907,121.76134256
25.16132959,121.76134337
25.16133011,121.76134418
25.16133063,121.76134499
25.16133115,121.76134580
25.16133168,121.76134661
25.16133220,121.76134742
25.16133273,121.76134822
25.16133326,121.76134903
25.16133379,121.76134983
25.16133433,121.76135063
25.16133486,121.76135143
25.16133539,121.76135223
25.16133593,121.76135303
25.16133647,121.76135383
25.16133701,121.76135463
25.16133755,121.76135542
25.16133809,121.76135622
25.16133864,121.76135701
25.16133918,121.76135780
25.16133973,121.76135859
25.16134028,121.76135938
25.16134083,121.76136017
25.16134138,121.76136096
25.16134193,121.76136174
25.16134248,121.76136253
25.16134304,121.76136331
25.16134360,121.76136409
25.16134415,121.76136487
25.16134471,121.76136565
25.16134528,121.76136643
25.16134584,121.76136721
25.16134640,121.76136798
25.16134697,121.76136876
25.16134753,121.76136953
25.16134810,121.76137030
25.16134867,121.76137107
25.16134924,121.76137184
25.16134982,121.76137261
25.16135039,121.76137338
25.16135096,121.76137415
25.16135154,121.76137491
25.16135212,121.76137567
25.16135270,121.76137644
25.16135328,121.76137720
25.16135386,121.76137796
25.16135444,121.76137871
25.16135503,121.76137947
25.16135562,121.76138023
25.16135620,121.76138098
25.16135679,121.76138173
25.16135738,121.76138249
25.16135797,121.76138324
25.16135857,121.76138399
25.16135916,121.76138473
25.16135976,121.76138548
25.16136036,121.76138622
25.16136095,121.76138697
25.16136155,121.76138771
25.16136216,121.76138845
25.16136276,121.76138919
25.16136336,121.76138993
25.16136397,121.76139067
25.16136457,121.76139140
25.16136518,121.76139214
25.16136579,121.76139287
25.16136640,121.76139360
25.16136701,121.76139433
25.16136763,121.76139506
25.16136824,121.76139579
25.16136886,121.76139652
25.16136947,121.76139724
25.16137009,121.76139797
25.16137071,121.76139869
25.16137133,121.76139941
25.16137196,121.76140013
25.16137258,121.76140085
25.16137321,121.76140157
25.16137383,121.76140228
25.16137446,121.76140300
25.16137509,121.76140371
25.16137572,121.76140442
25.16137635,121.76140513
25.16137698,121.76140584
25.16137762,121.76140655
25.16137825,121.76140725
25.16137889,121.76140796
25.16137953,121.76140866
25.16138017,121.76140936
25.16138081,121.76141006
25.16138145,121.76141076
25.16138209,121.76141146
25.16138274,121.76141215
25.16138339,121.76141285
25.16138403,121.76141354
25.16138468,121.76141423
25.16138533,121.76141492
25.16138598,121.76141561
25.16138663,121.76141630
25.16138729,121.76141699
25.16138794,121.76141767
25.16138860,121.76141835
25.16138925,121.76141904
25.16138991,121.76141972
25.16139057,121.76142040
25.16139123,121.76142107
25.16139189,121.76142175
25.16139256,121.76142242
25.16139322,121.76142310
25.16139389,121.76142377
25.16139455,121.76142444
25.16139522,121.76142511
25.16139589,121.76142577
25.16139656,121.76142644
25.16139723,121.76142710
25.16139791,121.76142777
25.16139858,121.76142843
25.16139926,121.76142909
25.16139993,121.76142975
25.16140061,121.76143040
25.16140129,121.76143106
25.16140197,121.76143171
25.16140265,121.76143236
25.16140333,121.76143301
25.16140402,121.76143366
25.16140470,121.76143431
25.16140539,121.76143496
