log_time,State,wgSpeed,flowSpeed,flowDir,heading,exceptCourse,rudderAngle,windSpeed,depth
2026-04-21 22:30:29,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:29,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:29,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:29,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:30,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:30,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:30,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:30,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:31,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:31,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:31,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:31,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:32,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:32,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:32,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:32,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:33,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:33,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:33,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:33,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:34,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:34,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:34,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:34,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:35,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:35,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:35,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:35,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:36,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:36,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:36,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:36,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:37,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:37,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:37,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:37,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:38,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:38,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:38,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:38,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:39,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:39,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:39,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:39,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:40,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:40,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:40,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:40,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:41,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:41,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:41,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:41,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:42,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:42,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:42,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:42,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:43,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:43,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:43,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:43,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:44,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:44,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:44,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:44,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:45,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:45,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:45,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:45,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:46,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:46,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:46,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:46,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:47,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:47,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:47,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:47,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:48,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:48,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:48,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:48,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:49,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:49,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:49,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:49,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:50,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:50,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:50,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:50,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:51,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:51,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:51,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:51,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:52,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:52,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:52,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:52,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:53,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:53,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:53,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:53,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:54,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:54,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:54,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:54,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:55,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:55,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:55,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:55,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:56,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:56,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:56,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:56,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:57,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:57,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:57,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:57,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:58,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:58,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:58,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:58,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:59,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:59,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:30:59,-,-,-,-,-,-,-,-,-
2026-04-21 22:30:59,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:31:00,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:00,-,0,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:31:01,路徑規劃完成,-,-,-,-,-,-,-,-
2026-04-21 22:31:01,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:01,-,5.071492781505724,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:31:01,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:01,-,5.071492781505724,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:31:02,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:02,-,4.85266194179941,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:31:02,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:02,-,4.85266194179941,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:31:03,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:03,-,5.179442191737543,0.0,0.0,60,0,0.0,0.0,0.0
2026-04-21 22:31:03,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:03,-,5.179442191737543,0.0,0.0,60,46.49014677778223,-8.511207529997195,0.0,0.0
2026-04-21 22:31:04,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:04,-,4.978865023680996,0.0,0.0,60,46.49014677778223,-8.511207529997195,0.0,0.0
2026-04-21 22:31:04,-,-,-,-,-,-,-,-,-
2026-04-21 22:31:04,-,4.978865023680996,0.0,0.0,60,46.49014677778223,-8.511207529997195,0.0,0.0
